,battery_id,battery_formula,framework_formula,formula_charge,formula_discharge,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,id_charge,id_discharge
23,mp-759472_Li,Li1-2Cu(HO)4,Cu(HO)4,LiCu(HO)4,Li2Cu(HO)4,2.901633593333334,184.25661750882796,518.0494434290666,534.6451911575862,1503.1896680614163,mp-759472,mp-769242
24,mp-766078_Li,Li0-1.5V3Fe2CuO12,V3Fe2CuO12,V3Fe2CuO12,Li3V6Fe4(CuO12)2,3.6770133966666516,75.78678494415811,274.17595458971317,278.6690235299639,1008.1486580702428,mp-773088,mp-772865
25,mp-773506_Li,Li0-4Mn5Cu(PO4)6,Mn5Cu(PO4)6,Mn5Cu(PO4)6,Li4Mn5Cu(PO4)6,3.737699760833327,114.5572467400298,373.93284731202283,428.1805937419338,1397.6487139658727,mp-773506,mp-1177362
26,mp-775334_Li,Li0-4V3Cu(PO4)4,V3Cu(PO4)4,V3Cu(PO4)4,Li4V3Cu(PO4)4,2.8040975483333215,171.79887425883308,590.2360106779045,481.7408021156184,1655.0793504799522,mp-775334,mp-1177267
27,mp-756167_Li,Li0-2V4CuNiO12,V4CuNiO12,V4CuNiO12,Li2V4CuNiO12,2.6740106333333435,100.7801423905755,352.307177749766,269.4871723812474,942.0731395025347,mp-756167,mp-1177805
28,mp-755148_Li,Li0-2CuSb(PO4)2,CuSb(PO4)2,CuSb(PO4)2,Li2CuSb(PO4)2,3.0813151033333286,137.75052696874118,531.2358499858726,424.4527792409072,1636.9050479935877,mp-755148,mp-772561
29,mp-766489_Li,Li3-5Mn2Fe(BO3)4,Mn2Fe(BO3)4,Li3Mn2Fe(BO3)4,Li5Mn2Fe(BO3)4,3.0595730008333293,123.03770534765488,375.85592331409003,376.4428413661714,1149.9586351750722,mp-766489,mp-766508
30,mp-772496_Li,Li0-4Mn3CuNi2(PO4)6,Mn3CuNi2(PO4)6,Mn3CuNi2(PO4)6,Li4Mn3CuNi2(PO4)6,3.7576910933333396,113.64516088216786,386.4249986529908,427.0434088473566,1452.0657756796911,mp-772496,mp-775323
31,mp-757045_Li,Li0-1Ti3Nb(CuO4)3,Ti3Nb(CuO4)3,Ti3Nb(CuO4)3,LiTi3Nb(CuO4)3,3.361940703333322,42.80845299050496,211.0963774314468,143.9194805555097,709.6935036129946,mp-757045,mp-849772
32,mp-771696_Li,Li0-2V2Cr(PO4)3,V2Cr(PO4)3,V2Cr(PO4)3,Li2V2Cr(PO4)3,2.6323927558333273,118.41374112944592,371.1516588316608,311.71147434027637,977.0169380239865,mp-771696,mp-1177840
33,mp-774402_Li,Li0-6VCr3(PO4)6,VCr3(PO4)6,VCr3(PO4)6,Li6VCr3(PO4)6,4.094417748333337,196.49084361015707,575.6344497309923,804.5155974624171,2356.8879075306686,mp-774402,mp-1176888
34,mp-1212369_Li,Li0-1Ho2Cu(SiO3)4,Ho2Cu(SiO3)4,Ho2Cu(SiO3)4,LiHo2Cu(SiO3)4,1.7771109833333345,38.03341707417017,180.72911865998356,67.58960321620538,321.17570177881026,mp-1212369,mp-1235332
35,mp-753276_Li,Li1.33-2CoNiO4,CoNiO4,Li4Co3(NiO4)3,Li2CoNiO4,3.2226555983333327,91.39175409203408,419.06098326607497,294.5241479661969,1350.4892237654876,mp-777850,mp-1276757
36,mp-755106_Li,Li1-1.5FeCuO4,FeCuO4,LiFeCuO4,Li3Fe2(CuO4)2,2.976155723333325,69.14723249720689,288.45578312652606,205.79293174922236,858.4893298806069,mp-775462,mp-781767
37,mp-4226_Li,Li0-1CrS2,CrS2,CrS2,LiCrS2,2.4031087133333324,217.77941582570722,698.336059642513,523.3476117554001,1678.1774697617886,mp-755263,mp-4226
38,mp-754314_Li,Li3-4Cr3NiO8,Cr3NiO8,Li3Cr3NiO8,Li4Cr3NiO8,3.6035194383333407,72.35022143981372,305.8292786463666,260.7154293260904,1102.0617504136458,mp-756615,mp-1290930
39,mp-756976_Li,Li1-2CrNiO4,CrNiO4,LiCrNiO4,Li2CrNiO4,3.5339499483333343,142.13082178025928,630.3844152783629,502.28321028692164,2227.74697180311,mp-768708,mp-762507
40,mp-757393_Li,Li0-4Mn3Cu3(TeO8)2,Mn3Cu3(TeO8)2,Mn3Cu3(TeO8)2,Li4Mn3Cu3(TeO8)2,3.9879125883333346,119.86263559831387,584.4595170560324,478.00171337332716,2330.773465438973,mp-758477,mp-757393
41,mp-757469_Li,Li0-6V3Cr(PO4)6,V3Cr(PO4)6,V3Cr(PO4)6,Li6V3Cr(PO4)6,3.494505699999995,196.9985505091332,569.2184298935275,688.4125576459029,1989.1370478079796,mp-775008,mp-757469
42,mp-754209_Li,Li3-4Cr3NiO8,Cr3NiO8,Li3Cr3NiO8,Li4Cr3NiO8,3.779084815833333,72.35022143981372,308.81747588833423,273.4176232653793,1167.0474339935804,mp-768676,mp-754209
43,mp-759272_Li,Li2-5Cr3NiO8,Cr3NiO8,Li2Cr3NiO8,Li5Cr3NiO8,2.9024430233333334,213.05855801799632,874.6036190889508,618.3903252807936,2538.4871724068093,mp-1178044,mp-759272
