Symbol;Name;AtomicMass;ElectronConfiguration;Electronegativity;AtomicRadius;IonizationEnergy;ElectronAffinity;OxidationStates;StandardState;MeltingPoint;BoilingPoint;Density;GroupBlock;"YearDiscovered""";"""AtomicNumber"
I;Iodine;126.904;[Kr]5s24d105p5;2.66;198;10.451;3.059;+7+5+1-1;Solid;386.85;457.55;4.93;Halogen;"1811""";"""53"
Cs;Cesium;132.905;[Xe]6s1;0.79;343;3.894;0.472;1;Solid;301.59;944;1.93;Alkalimetal;"1860""";"""55"
Ba;Barium;137.33;[Xe]6s2;0.89;268;5.212;;2;Solid;1000;2170;3.62;Alkalineearthmetal;"1808""";"""56"
Ta;Tantalum;180.947;[Xe]6s24f145d3;1.5;217;7.89;0.322;5;Solid;3290;5731;16.4;Transitionmetal;"1802""";"""73"
W;Tungsten;183.8;[Xe]6s24f145d4;2.36;210;7.98;0.815;6;Solid;3695;5828;19.3;Transitionmetal;"1783""";"""74"
Re;Rhenium;186.21;[Xe]6s24f145d5;1.9;217;7.88;0.15;+7+6+4;Solid;3459;5869;20.8;Transitionmetal;"1925""";"""75"
Os;Osmium;190.2;[Xe]6s24f145d6;2.2;216;8.7;1.1;+4+3;Solid;3306;5285;22.57;Transitionmetal;"1803""";"""76"
Ir;Iridium;192.22;[Xe]6s24f145d7;2.2;202;9.1;1.565;+4+3;Solid;2719;4701;22.42;Transitionmetal;"1803""";"""77"
Pt;Platinum;195.08;[Xe]6s14f145d9;2.28;209;9;2.128;+4+2;Solid;2041.55;4098;21.46;Transitionmetal;"1735""";"""78"
Au;Gold;196.966;[Xe]6s14f145d10;2.54;166;9.226;2.309;+3+1;Solid;1337.33;3129;19.282;Transitionmetal;"Ancient""";"""79"
Hg;Mercury;200.59;[Xe]6s24f145d10;2;209;10.438;;+2+1;Liquid;234.32;629.88;13.533;Transitionmetal;"Ancient""";"""80"
Tl;Thallium;204.383;[Xe]6s24f145d106p1;1.62;196;6.108;0.2;+3+1;Solid;577;1746;11.8;Post-transitionmetal;"1861""";"""81"
Pb;Lead;207;[Xe]6s24f145d106p2;2.33;202;7.417;0.36;+4+2;Solid;600.61;2022;11.342;Post-transitionmetal;"Ancient""";"""82"
Bi;Bismuth;208.980;[Xe]6s24f145d106p3;2.02;207;7.289;0.946;+5+3;Solid;544.55;1837;9.807;Post-transitionmetal;"1753""";"""83"
Po;Polonium;208.982;[Xe]6s24f145d106p4;2;197;8.417;1.9;+4+2;Solid;527;1235;9.32;Metalloid;"1898""";"""84"
