t, MSD, MSD_a, MSD_b, MSD_c, MSCD
1000, 0.08724235712403032, 0.03139258870002645, 0.034826598049824825, 0.021023170374179584, 0.05610818581680175
1021, 0.08601556506437773, 0.031651210611410636, 0.03413401885378139, 0.020230335599186838, 0.05400096831545081
1042, 0.08471218931315265, 0.031004017220957292, 0.03382113202318677, 0.01988704006900928, 0.054260369819973675
1063, 0.0837404404192467, 0.029995993441084924, 0.03372224057461002, 0.020022206403551634, 0.05473354747518415
1084, 0.08340135289807728, 0.0289014786393123, 0.033981711175756574, 0.02051816308300865, 0.05568421007765702
1105, 0.08339343245049274, 0.0278101583840937, 0.03433629310974773, 0.021246980956651874, 0.05708936606100393
1126, 0.08335363375629944, 0.02702465383715523, 0.03440773872183401, 0.021921241197310367, 0.0572999515219855
1147, 0.08338582122061441, 0.02674084507529472, 0.034338669891871086, 0.022306306253449135, 0.05642193301238759
1168, 0.08375130402751477, 0.0269808427569459, 0.03429911803895411, 0.022471343231614403, 0.0560418535879752
1189, 0.08441342134120647, 0.027652863581354884, 0.034320238273721486, 0.02244031948612973, 0.055976978887664265
1210, 0.08488470835318988, 0.02845668215370981, 0.034377274636265207, 0.022050751563215988, 0.05472545258657333
1231, 0.08499052821722566, 0.029163120703856082, 0.034533822544981045, 0.021293584968388134, 0.0539071614734789
1252, 0.08476063456041884, 0.029614930772037452, 0.034810952757366856, 0.020334751031014592, 0.055841905211491016
1273, 0.08429364896106287, 0.029571065817496384, 0.03510082641570646, 0.019621756727859634, 0.05920378142379184
1294, 0.08407988819193746, 0.029139218003120897, 0.03549536251538137, 0.019445307673435334, 0.06008913116134393
1315, 0.08444450277901616, 0.02865835130821529, 0.03608652661698067, 0.0196996248538202, 0.05754148250952164
1336, 0.08526838228866224, 0.02825923053204833, 0.03670625747401937, 0.02030289428259466, 0.05553351280913026
1357, 0.08627909043721932, 0.028033559257910692, 0.037115377138370174, 0.0211301540409386, 0.05531093229177688
1378, 0.08697992677766622, 0.028002394728898927, 0.036995689053224146, 0.02198184299554192, 0.05509701870980417
1399, 0.08711067684109558, 0.028143552004269587, 0.03625811131943292, 0.02270901351739339, 0.05577090524123201
1420, 0.0868920927065971, 0.02846163952267244, 0.035293728258633486, 0.02313672492529156, 0.05756021439113878
1441, 0.08618953949331065, 0.028994479367810366, 0.034335806544796794, 0.022859253580704068, 0.05779928843277599
1462, 0.08507197378761518, 0.02957841111261451, 0.03357660697919788, 0.021916955695803392, 0.058113144081913856
1483, 0.08403034379181051, 0.029943985162506678, 0.03332158223928652, 0.02076477639001747, 0.059583141669897643
1504, 0.08330248450420656, 0.029914852742655852, 0.03355855330812082, 0.019829078453430092, 0.05761049796086998
1525, 0.08304627842416937, 0.029366713164432415, 0.03412230115457281, 0.019557264105164514, 0.05479249670282274
1546, 0.08343839977359029, 0.028522682262035536, 0.034893160372647974, 0.02002255713890734, 0.05431978595858776
1567, 0.08438448157052651, 0.02787404917508847, 0.03568897253583135, 0.020821459859605977, 0.05662254303746161
1588, 0.08542367950269625, 0.027424649077522623, 0.03632355895720445, 0.021675471467969127, 0.060550325891045684
1609, 0.0857494645602484, 0.026927243619108174, 0.03660531563679149, 0.022216905304348576, 0.05964553904544428
1630, 0.0854482232327261, 0.026579275189273593, 0.03654187839784732, 0.02232706964560533, 0.055950069464367196
1651, 0.08519298105954537, 0.026749075922022695, 0.036306888648371366, 0.022137016489151222, 0.05609277929843302
1672, 0.08517242047990456, 0.027568425730616176, 0.03599594415434172, 0.02160805059494616, 0.057421682786495704
1693, 0.08575885203701301, 0.028839621417897785, 0.035801021662856855, 0.021118208956258572, 0.058510490038791815
1714, 0.08681270437870127, 0.030117493027085947, 0.03576914075729778, 0.020926070594317885, 0.058085130199078655
1735, 0.08776861872271029, 0.031070262369389888, 0.035666069241329604, 0.02103228711199074, 0.05623587248555025
1756, 0.08856880271419872, 0.03159805838266758, 0.03553871327330314, 0.021432031058227875, 0.05659857717238887
1777, 0.08909693710342621, 0.03161670553252478, 0.03566186134667334, 0.0218183702242288, 0.0578380278027862
1798, 0.08886027791054815, 0.03099861614762287, 0.03597332470801699, 0.021888337054907666, 0.05835908886647686
1819, 0.08755000948100274, 0.02991399401816361, 0.036035595073268305, 0.02160042038957119, 0.05771286007188039
1840, 0.08574719191565375, 0.028751542739315922, 0.035722465024105275, 0.02127318415223263, 0.05571623310623431
1861, 0.0843483468040106, 0.02794940641611969, 0.035159199844660045, 0.02123974054323097, 0.05506191164783788
1882, 0.08380428915951157, 0.027832086985926586, 0.034557636339868004, 0.02141456583371712, 0.057197419662630956
1903, 0.08399371910675063, 0.02808532237427716, 0.03431432683814463, 0.021594069894329052, 0.05966580795625731
1924, 0.08396316093501772, 0.02807952687046827, 0.03434044521259389, 0.021543188851956423, 0.05954848413719355
1945, 0.0836078435750239, 0.02792451613302345, 0.03427092369716105, 0.02141240374483871, 0.056628638201654535
1966, 0.08362159233586475, 0.028012818589398275, 0.03417391866501668, 0.021434855081450033, 0.05282478203707932
1987, 0.08438879955319065, 0.02834405056960755, 0.03445970672013994, 0.0215850422634431, 0.053044619754096564
2008, 0.08582375033127282, 0.028795482686243316, 0.03533503141856835, 0.021693236226462232, 0.05912760721829384
2029, 0.0871351653421055, 0.029161398842025704, 0.036312779107358084, 0.021660987392722195, 0.06577101640212443
2050, 0.08751939005498802, 0.029242526470609286, 0.036880165666535805, 0.02139669791784283, 0.06400562174016927
2071, 0.08711946657314723, 0.02910057521623742, 0.03706622904001998, 0.020952662316890004, 0.05474508678899263
2092, 0.08675615464465988, 0.02892860164048769, 0.03705927344171098, 0.020768279562461526, 0.05047538580075783
2113, 0.08673036156919703, 0.028834697852656018, 0.036870614956225456, 0.021025048760316554, 0.05323191811320513
2134, 0.08690760054957647, 0.02894297076633455, 0.03643913427734098, 0.021525495505901136, 0.0576653912914668
2155, 0.08712931413099426, 0.02928313475242377, 0.035811614867956976, 0.02203456451061376, 0.06254753447750314
2176, 0.08686703386562691, 0.02971331454727977, 0.03498815893084681, 0.022165560387499873, 0.06073226111846012
2197, 0.08627110293487322, 0.030034776238261954, 0.03419660586194288, 0.02203972083466798, 0.05465737894412534
2218, 0.08582863183922959, 0.030094813049770016, 0.03380775654062281, 0.021926062248836233, 0.05367972154885318
2239, 0.0854670599763067, 0.029823672961812573, 0.033841864328182175, 0.021801522686312177, 0.057086112144768476
2260, 0.08512467523573342, 0.029260441619022776, 0.03416040533378006, 0.02170382828293217, 0.061048258375780824
2281, 0.08457573457222539, 0.02857413561835338, 0.03451692143675204, 0.021484677517120226, 0.05980159063040988
2302, 0.08404338415854004, 0.028027854205759095, 0.034883337102119834, 0.02113219285066035, 0.05408961136135337
2323, 0.08424023316202467, 0.027834658305652852, 0.035401068396361715, 0.02100450646000923, 0.05331152245036784
2344, 0.08517922516965723, 0.028111168980494837, 0.035966934051841155, 0.02110112213732119, 0.05814336518340943
2365, 0.08617565990212858, 0.028711711459387664, 0.036301592696809055, 0.021162355745931238, 0.062007615303627986
2386, 0.08688969488062902, 0.0293657627747427, 0.036280309978111026, 0.021243622127775787, 0.06290882224467366
2407, 0.08714868521309903, 0.029771949560968958, 0.0359762546974869, 0.02140048095464225, 0.05986681832975469
2428, 0.0867923466201906, 0.029629634145836935, 0.03553025323485838, 0.021632459239495524, 0.05431242190493726
2449, 0.08647054820094832, 0.029217351707563927, 0.03525375957540901, 0.021999436917975804, 0.05271028274640761
2470, 0.08648601705709091, 0.02887646857066786, 0.03544677933614244, 0.022162769150280235, 0.055815712048976396
2491, 0.08680502028187558, 0.028656061864927234, 0.03605079182507478, 0.022098166591874083, 0.06044302143147179
2512, 0.08709555944722226, 0.028628716429000778, 0.036580720730785166, 0.021886122287436294, 0.06063971396343106
2533, 0.08705746296167848, 0.028882230395468167, 0.03680715453576727, 0.021368078030442907, 0.05587497199915138
2554, 0.0867722386613402, 0.029246985043730248, 0.03678425505948223, 0.020740998558127038, 0.055890145281397526
2575, 0.08608466150542117, 0.029367899329330996, 0.03646426473626827, 0.020252497439821868, 0.05954064578047506
2596, 0.08485635689466056, 0.02910416783827489, 0.03573386716897478, 0.020018321887411636, 0.05961532000276692
2617, 0.08362668012629396, 0.028740807459353906, 0.034663811051953805, 0.02022206161498652, 0.05872083378222252
2638, 0.08317254660281195, 0.02864018950223768, 0.03366654926477458, 0.020865807835799353, 0.05736247484869042
2659, 0.08371735617731854, 0.02877629506519265, 0.03309108832191903, 0.02184997279020652, 0.05636188768096796
2680, 0.08481295979914241, 0.028973488385071716, 0.03294700977312248, 0.02289246164094732, 0.057490835886051875
2701, 0.08611128515932179, 0.029164913338104604, 0.03334399937911135, 0.023602372442106036, 0.058365437370258295
2722, 0.08714630975619754, 0.029151327573660766, 0.034270730363067006, 0.0237242518194696, 0.059857282788672354
2743, 0.08736922961659267, 0.028942964091721115, 0.03531183655456727, 0.023114428970304402, 0.06141361389433317
2764, 0.08676002163663674, 0.028741667239421724, 0.03620691751879627, 0.021811436878418935, 0.058718001718655426
2785, 0.08581980472428147, 0.028557890349981546, 0.03696953271247093, 0.02029238166182773, 0.05506399564218475
2806, 0.08523888900401375, 0.028340406096337332, 0.03758904121765947, 0.019309441690017696, 0.05557964740874665
2827, 0.08532242740615242, 0.028297369248649396, 0.03782213171650811, 0.019202926440995072, 0.05779596623384508
2848, 0.08577213527176118, 0.028454183394972563, 0.03740785093264943, 0.0199101009441387, 0.059007416560577695
2869, 0.0862316416927891, 0.028582833565738854, 0.0365561039595189, 0.021092704167531427, 0.05811417227210191
2890, 0.0863906442901754, 0.0287424140421923, 0.03545220233532108, 0.0221960279126623, 0.056544969154244416
2911, 0.08611852311809089, 0.028994894963584865, 0.03427752891689704, 0.022846099237609604, 0.05792462373671287
2932, 0.08554770420671992, 0.029274026898182436, 0.03333547390123273, 0.02293820340730465, 0.059647032565011346
2953, 0.08494793032054855, 0.029516195960099523, 0.032850353311360304, 0.022581381049088838, 0.05852018393987073
2974, 0.08445906455122346, 0.02943501141475129, 0.03302039960799418, 0.022003653528478124, 0.0566196316183544
2995, 0.08419266114210408, 0.029031167120631925, 0.033787775449574724, 0.021373718571897477, 0.055377193368395215
