,formula,mp-id,crystal system,density,energy above hull,band gap,efermi,is gap direct,theoretical
288,BaLi4NiO4,mp-776559,P2_1/c,4.068252889711741,0.052374264750000066,2.6892999999999994,1.73139889,False,True
289,Li7Ni(O2F)2,mp-761279,P1,2.622875354703098,0.08372519202381046,1.2277999999999998,0.76707345,False,True
290,Li4MnCo2O7,mp-1174497,P-1,4.04343322142124,0.12834367357142806,0.10170000000000012,2.56251889,False,True
291,Li9Mn2Co5O16,mp-1176301,P1,4.085820204682952,0.1168839484375006,0.0,2.38490224,False,True
292,Li12Mn3V5(PO4)12,mp-779437,P1,2.943204291074347,0.03342828933591502,0.0,2.21415137,False,True
293,Li6Ca12Mo4N16O3,mp-15202,I-43d,3.4581857050178564,0.059168388551825934,2.3083000000000005,2.90465587,False,True
294,Li9Mn2Co5O16,mp-1100651,Cm,4.177983843689044,0.10499943000000034,0.0,2.68111324,False,True
295,Li10V5Cr3O16,mp-760983,Cm,3.926235195021899,0.08072898750000057,0.6901000000000002,5.51543652,False,True
296,Li2CuH14C4(N3O4)2,mp-769075,P2_1/c,1.9096780452257454,0.10044084293651068,3.7314000000000003,1.94905979,False,True
297,Li3Bi(PO4)2,mp-760655,C2/m,4.382121599571903,0.06614708428571436,3.5843,2.66701686,False,True
298,Li4V3O8,mp-756963,R-3m,3.7007332213711295,0.1679799722500075,0.0,3.39719619,False,True
299,Li3MnV(PO4)3,mp-775374,P1,3.162161481171049,0.05671114693749768,0.4086000000000003,2.61044976,False,True
300,Li5Fe2P2(CO7)2,mp-768672,P-1,2.7574125514870764,0.03366729555000614,1.2535999999999998,1.80101148,False,True
301,Li4Mn3O7,mp-1174283,P-1,3.9149809723343703,0.04666651499999919,0.613,3.41640928,False,True
302,Li4Mn3O7,mp-1174294,P-1,3.8833549986513107,0.02842843785714244,0.8471000000000002,2.78240917,False,True
303,Li4Fe2OF8,mp-776522,Cc,3.2188180656461465,0.05654442607407706,0.6990000000000001,0.35590131,False,True
304,Li7Mn4CoO12,mp-1175161,P-1,3.9988620766718523,0.03514104114583194,0.7740999999999998,3.51610498,False,True
305,Li7Co5O12,mp-1174364,P-1,4.256730791901911,0.09224785833333016,0.8724000000000003,2.70075394,False,True
306,Li2FeSiO5,mp-759321,P2_1/c,3.204359307047788,0.09971782314814437,0.26780000000000026,2.87817805,False,True
307,Li6Cu2C4SO16,mp-780401,Fd-3,2.8988798942645677,0.06811816974137663,0.0,1.96387226,False,True
308,Li2TlPCO7,mp-754034,P2_1/m,4.0432125106531664,0.03726239680555565,1.5182000000000002,1.29940463,False,True
309,Li2Co(CO3)2,mp-1638967,Pc,2.654801473837919,0.051709336136366524,2.815,0.60436017,False,True
310,Li4MnCo2O7,mp-1174831,Cm,4.098233568448665,0.1127844739285706,0.0,2.85186947,False,True
311,Li2FeP2O7,mp-695805,P-1,2.9517048790403364,0.01896343680552537,4.2488,1.97294134,False,True
312,Li3MnV(PO4)3,mp-774311,C2,2.884460699396281,0.07025910956249781,0.0,1.9939923,False,True
313,Li3Co2O5,mp-1173960,P-1,4.284203514087694,0.02767770900000066,1.0581,2.2644678,False,True
314,Li3Sb(PO4)2,mp-759416,R3,3.359056981214306,0.08824008880953649,2.7700000000000005,2.77872154,False,True
315,Li3MnCoO5,mp-1174277,Cm,3.965448438505027,0.09022191349998998,0.14760000000000018,3.16517291,False,True
316,Li2NiP2O7,mp-753396,P-1,3.077532651255806,0.055921519513886686,0.29499999999999993,2.36884201,False,True
317,Li3Sb(PO4)2,mp-759099,P-3,3.4580630087996886,0.08156792476191654,2.5676000000000005,2.99711129,False,True
318,Li19Cr4P8O35F,mp-759194,P1,2.8120913332025617,0.061769194962677076,1.9694000000000003,4.9808837,True,True
319,Li2SiNiO4,mp-766475,Pca2_1,3.054278005388507,0.06986760171874984,2.9899000000000004,1.71356209,False,True
320,Li10Co4O9,mp-773128,P-1,3.092059776691636,0.05570181120923845,1.1130000000000002,1.52155233,False,True
321,Li9Mn2Co5O16,mp-1176272,C2/m,4.1774961694881,0.10723151000000009,0.0,2.67654503,False,True
322,Li4V3P8O29,mp-849997,P1,2.524042936479234,0.04795779765151398,0.8090999999999999,0.35612449,False,True
323,Li4MnCo2O7,mp-1174842,Cm,4.079738683894861,0.1314902414285699,0.0,2.68931423,False,True
324,Li2FePO4F,mp-759229,P2_1/c,3.1767773500363616,0.0317466963888835,3.7155,2.13402531,True,True
325,Li7Mn4CoO12,mp-1175159,P-1,3.926901194533685,0.043163113020831645,0.8702999999999999,3.55380259,False,True
326,Li2SiBSbO7,mp-772132,P2_1/m,3.143816090358418,0.08748498690625883,2.5145,1.30873247,False,True
327,Li5Co4(Si3O10)2,mp-849656,P1,2.940049411418596,0.07925925200000172,0.17579999999999996,1.91974207,False,True
328,Li3V(BO2)5,mp-770344,P-1,2.434305480410387,0.06759634085087729,2.4248,5.35859814,False,True
329,Li2SeO4,mp-1180938,R-3,2.630173393010082,0.08619381166666606,3.5781,2.41466076,False,True
330,Li3MnV(PO4)3,mp-1177636,P1,3.1630447594519064,0.05676848006249724,0.5808,2.54895528,False,True
331,Li9Mn2Co5O16,mp-1175713,P-1,4.159792494283424,0.10251772562500072,0.5291999999999999,2.65395177,False,True
332,Li4V3P8O29,mp-765762,P1,2.549475227699977,0.05595665196969524,0.0,0.94507997,False,True
333,Li3Fe2P2(CO7)2,mp-768652,P1,2.645948340841041,0.06478524945651998,0.06540000000000001,0.1701313,False,True
334,Li3Bi(PO4)2,mp-684028,P-3,4.375143887736774,0.04868363404761844,3.6540999999999997,2.39882479,False,True
