material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom
mp-770641,LiMn7O12,80,I4_1/acd,-1.94917302
mp-1176738,LiMn7O14,88,C2/c,-1.856199671
mp-1016165,LiMn8O16,50,Pc,-1.864059159
mp-531604,LiMnO2,80,Cm,-2.14139345
mp-675370,LiMnO2,56,Pmm2,-2.142373549
mp-756475,LiMnO2,40,P-1,-2.107906736
mp-779788,LiMnO2,48,P1,-2.114466778
mp-774457,LiNb7V12O48,68,P1,-2.531123987
mp-757803,LiTi2V3O12,72,P1,-2.734021531
mp-764774,LiTi2V3O12,72,P2_1/c,-2.744180213
mp-774505,LiTi2VO6,40,P2_1/c,-3.062802662
mp-753531,LiTi3VO8,52,R-3m,-3.099075107
mp-769573,LiTiVO4,42,P1,-2.880023616
mp-774591,LiV18O44,63,Pm,-2.291583627
mp-760797,LiV24O58,83,P1,-2.299557136
mp-776037,LiV4O10,90,P-1,-2.34977389
mp-542050,LiV6O13,40,P-1,-2.412591113
mp-776036,LiV6O15,88,P2_1/c,-2.324549622
mp-767268,LiV9O22,64,P2_1/m,-2.305640773
mp-1222477,LiVZnO4,42,R3,-2.28666465
mp-771993,LiZn2Fe9O16,56,Cm,-1.68822653
mp-769606,LiZn4Fe13O24,42,Cm,-1.668206637
mp-771348,LiZn6Fe17O32,56,Cm,-1.658704415
mp-771267,LiZnFe7O12,42,Cm,-1.692872043
