material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom
mp-758726,Li2(NiO2)3,66,P1,-1.275052628
mp-769519,Li21(FeO4)4,41,C2,-1.997100936
mp-530102,Li21Mo11O32,64,C2/m,-2.107897895
mp-705828,Li23Ni17O40,80,P-1,-1.513393262
mp-772934,Li2Fe3CuO8,56,P2_13,-1.495597212
mp-773062,Li2Mn3CuO8,56,P1,-1.863248784
mp-774515,Li2Mn3NbO8,56,P4_332,-2.308295021
mp-758273,Li2Mn3O6,44,P1,-2.01668725
mp-704943,Li2Mn3ZnO8,56,P2_13,-2.015644155
mp-849474,Li2Mn5(CuO6)2,42,P2_1,-1.734570196
mp-758656,Li2Mn7O12,42,P2_1,-2.002404913
mp-760025,Li2MnCu3O8,56,P4_332,-1.348324027
mp-27222,Li2Mo4O13,57,P-1,-2.041769997
mp-1223324,Li2MoO3,48,P-1,-2.134107963
mp-18050,Li2MoO4,42,R-3,-2.270608245
mp-759780,Li2Nb6NiO18,54,P1,-2.672112705
mp-760364,Li2NbFe3O8,56,P4_332,-2.157033522
mp-772854,Li2NbV3O8,56,P4_332,-2.640247679
mp-758979,Li2Ti2Mn5O12,42,P2_1,-2.422325811
mp-831246,Li2Ti2NiO6,44,Cmce,-2.718553701
mp-754529,Li2Ti2VO6,44,Cmce,-2.910279252
mp-1177863,Li2Ti3FeO8,56,P2_13,-2.942808008
mp-1177884,Li2Ti3MnO8,56,R3m,-3.052586627
mp-756409,Li2Ti3NiO8,56,R-3m,-2.940684496
mp-753240,Li2Ti3V3O12,40,P-1,-2.865523792
mp-756158,Li2Ti3VO8,56,R-3m,-3.096307818
mp-775316,Li2TiFe3O8,56,P1,-2.144268355
mp-761095,Li2TiMn2O6,66,P2_1/c,-2.452669696
mp-758872,Li2TiMn3O8,42,P-1,-2.333091148
mp-775328,Li2TiNi3O8,56,P2_12_12_1,-1.763398672
mp-1177856,Li2TiV3O8,56,P4_32_12,-2.711225272
mp-1573040,Li2TiV5O12,40,P1,-2.576269554
mp-773021,Li2V12O29,43,C2/m,-2.327688562
mp-1198472,Li2V18O39,59,C2/m,-2.403290609
mp-773650,Li2V3CuO8,56,P2_12_12_1,-2.245298682
mp-772164,Li2V3O7,72,P31c,-2.427347383
mp-772205,Li2V3O8,52,P4_332,-2.352933088
mp-776130,Li2V5O12,76,Pbcn,-2.436456272
mp-760809,Li3(FeO3)2,66,C2/c,-1.664155426
mp-850218,Li35(FeO4)8,75,P1,-1.933387863
mp-1177736,Li3Cu2Ni5O12,66,P1,-1.200752047
mp-586092,Li3Fe5O8,64,Cmcm,-1.776148143
mp-705636,Li3Mn10O20,66,Cm,-1.900534047
mp-1177832,Li3Mn28O56,87,C2,-1.8299185
mp-758802,Li3Mn3O8,56,C2,-1.936767969
mp-1177674,Li3Mn4O8,60,P1,-2.063061425
