,battery_formula,battery_id,charge_id,discharge_id
82,Li1-1.5La7(CuO7)2,mp-774918_Li,mp-775959,mp-774918
83,Li0-0.5DyNbO4,mp-768303_Li,mp-768303,mp-1236234
84,Li0-1TiH6(OF3)2,mp-1208179_Li,mp-1208179,mp-1235748
85,Li0-3VCr(P2O7)2,mp-752491_Li,mp-767779,mp-752491
86,Li0-1La8Cu3O16,mp-888265_Li,mp-888651,mp-888265
87,Li0-8Ti16CuS32,mp-767157_Li,mp-767157,mp-774459
88,Li1-3Mn5(CuO6)2,mp-756860_Li,mp-756860,mp-849464
89,Li1-3V4CuO12,mp-756257_Li,mp-756257,mp-756355
90,Li0-1VFeP2(O4F)2,mp-1405864_Li,mp-1405864,mp-1446650
91,Li0-2Cr5(Si2O7)2,mp-802343_Li,mp-802343,mp-860838
92,Li0-3VCrP2(HO5)2,mp-753596_Li,mp-753596,mp-766011
93,Li4-5Mn2Cu3O10,mp-755409_Li,mp-849495,mp-755409
94,Li0-4Mn3CuO8,mp-756525_Li,mp-756525,mp-773427
95,Li0-2Mn3CuO8,mp-756513_Li,mp-756513,mp-756596
96,Li0-4Mn5CuO12,mp-753851_Li,mp-756191,mp-753851
97,Li0-2Cu5(Si2O7)2,mp-25205_Li,mp-25205,mp-554014
98,Li0-0.5ErTl(WO4)2,mp-1213014_Li,mp-1213014,mp-1235187
99,Li0-2V5CuO12,mp-755507_Li,mp-777235,mp-755507
100,Li0-3Cu2(SO4)3,mp-768451_Li,mp-768451,mp-778458
101,Li0-1Cr3(FeO4)2,mp-755327_Li,mp-756710,mp-755327
102,Li0-1VFeP2(O4F)2,mp-806951_Li,mp-806996,mp-806951
103,Li0-1La20Cu9O40,mp-774722_Li,mp-849992,mp-774722
104,Li1-3NbF6,mp-1078799_Li,mp-1078799,mp-1110578
105,Li0-1Cu6OF11,mp-752933_Li,mp-752933,mp-1235045
106,Li0-1FePO4F,mp-771908_Li,mp-772533,mp-771908
107,Li0-1NbF5,mp-18687_Li,mp-18687,mp-761164
108,Li0-1VCuO4,mp-25196_Li,mp-25196,mp-1105144
109,Li3-5Cr2Fe3O10,mp-765750_Li,mp-1177772,mp-765750
110,Li1-2Cr(Si2O5)2,mp-758640_Li,mp-780620,mp-758640
111,Li0-2FePO4F,mp-25382_Li,mp-25382,mp-25393
112,Li0.92-1VCuO4,mp-505131_Li,mp-774644,mp-505131
113,Li0-2V3CuO8,mp-773650_Li,mp-775644,mp-773650
114,Li0-2Cu2(SO4)3,mp-851105_Li,mp-851127,mp-851105
115,Li0-3Cr10Fe5O24,mp-771093_Li,mp-771184,mp-771093
116,Li0-1Cr(SiO3)2,mp-18727_Li,mp-25238,mp-18727
117,Li2-3CrFe3O8,mp-754888_Li,mp-754888,mp-763933
118,Li2-4Cr3FeO8,mp-755458_Li,mp-756058,mp-759199
119,Li2-3Cr(FeO3)2,mp-756692_Li,mp-782631,mp-756692
120,Li3-4CrFe3O8,mp-754773_Li,mp-754773,mp-759919
121,Li0-2Cr3(FeO6)2,mp-772616_Li,mp-772616,mp-775129
122,Li0-2Cr5(Si2O7)2,mp-757245_Li,mp-757245,mp-867580
123,Li3-5Cr2Fe5O12,mp-755090_Li,mp-756384,mp-755090
124,Li2-4Cr3FeO8,mp-756456_Li,mp-769975,mp-768704
125,Li2-5Cr3FeO8,mp-759913_Li,mp-777653,mp-759913
126,Li0-3VFeP2(O4F)2,mp-756057_Li,mp-777408,mp-1177545
127,Li2.83-3CrSi2O7,mp-758792_Li,mp-1178100,mp-758792
128,Li3-4CrFe3O8,mp-754939_Li,mp-754939,mp-768701
129,Li1-3Cr(Si2O5)3,mp-775349_Li,mp-850539,mp-778011
130,Li0.5-2VH2OF5,mp-752723_Li,mp-753201,mp-770536
131,Li2-3Cr(Si2O5)3,mp-759348_Li,mp-775302,mp-759348
132,Li2-5Cr3FeO8,mp-763916_Li,mp-774415,mp-763916
133,Li0-9Cr12Fe7O48,mp-1176819_Li,mp-1178459,mp-1176819
134,Li0-3Cu2(SO4)3,mp-768512_Li,mp-768512,mp-777767
135,Li1-2CrFeO4,mp-752610_Li,mp-754600,mp-752610
136,Li0-1Nb3O7F,mp-760401_Li,mp-760401,mp-1235339
137,Li0-1PWO4F,mp-25416_Li,mp-25432,mp-25416
138,Li1.33-2CrFeO4,mp-755048_Li,mp-755679,mp-755048
139,Li0-1NbO2F,mp-35171_Li,mp-35171,mp-1222399
140,Li0-1NiF3,mp-561428_Li,mp-561428,mp-758501
141,Li0-2TiCrO4,mp-755596_Li,mp-755596,mp-1276652
142,Li0-2TiPO4F,mp-25401_Li,mp-25436,mp-25401
143,Li0-1WF6,mp-555003_Li,mp-555003,mp-759647
144,Li0-0.5La2GaFeO6,mp-1223350_Li,mp-1223350,mp-1235609
145,Li0-0.33CuO,mp-1120722_Li,mp-1120722,mp-1147702
146,Li0-1Fe(GeO3)2,mp-22173_Li,mp-1043501,mp-22173
147,Li0-1LuZnFeO4,mp-1222267_Li,mp-1222267,mp-1235493
148,Li1-2TiCrO4,mp-755743_Li,mp-756275,mp-755743
149,Li2-4TiCr3O8,mp-754193_Li,mp-1177851,mp-765747
150,Li0-1CuO2,mp-25372_Li,mp-25378,mp-25372
151,Li1-2CuF4,mp-753171_Li,mp-753257,mp-753171
152,Li0-2NiPO4F,mp-25397_Li,mp-25468,mp-25397
153,Li3-4Ti3CrO8,mp-755762_Li,mp-755762,mp-756669
154,Li0-1CuO2,mp-9158_Li,mp-614565,mp-9158
155,Li1.33-2CuO2,mp-4711_Li,mp-752615,mp-4711
156,Li0-0.5CuO2,mp-25385_Li,mp-504100,mp-25385
157,Li0-3La7(FeO8)2,mp-756753_Li,mp-770762,mp-756753
158,Li0-1MnPO4F,mp-1400737_Li,mp-1400737,mp-1444833
159,Li0-1FeH12(SO7)2,mp-770576_Li,mp-770576,mp-780157
160,Li0-0.5CuO,mp-18162_Li,mp-510752,mp-18162
161,Li0.5-1CuF3,mp-758265_Li,mp-758265,mp-761262
162,Li0-2MnPO4F,mp-25395_Li,mp-25426,mp-25395
163,Li1-1.5CuO2,mp-25248_Li,mp-773044,mp-1222709
164,Li5-6CuF8,mp-753139_Li,mp-753202,mp-753139
165,Li0-2VPO4F,mp-25403_Li,mp-1104878,mp-1222675
166,Li0-1CuO,mp-5127_Li,mp-25229,mp-5127
167,Li0-2Mn2P2O7F2,mp-770546_Li,mp-770557,mp-770546
168,Li1-3Co2CuO6,mp-754066_Li,mp-766810,mp-754066
169,Li0-4CrCo3(PO4)4,mp-757257_Li,mp-775991,mp-757257
170,Li4-1Ti2Fe3Co3O16,mp-759038_Li,mp-759038,mp-778830
171,Li1-2CoCuO4,mp-753366_Li,mp-754020,mp-753366
172,Li6-7Fe3Co(PO4)6,mp-757363_Li,mp-757363,mp-775102
173,Li0-4Fe3Co(PO4)4,mp-758853_Li,mp-774667,mp-758853
174,Li4.25-5Fe(CO3)4,mp-765153_Li,mp-882899,mp-765153
175,Li6-7CuO4,mp-752512_Li,mp-752512,mp-780217
176,Li0-0.5LaFeTeO6,mp-1223010_Li,mp-1297758,mp-1236767
177,Li0-0.5CuO,mp-510751_Li,mp-510751,mp-553966
178,Li0-4Mn3Nb2Fe3O16,mp-755993_Li,mp-755993,mp-770941
179,Li0-1La4FeO8,mp-754261_Li,mp-754261,mp-756904
180,Li4-5VP2(O4F)2,mp-554656_Li,mp-782668,mp-554656
181,Li2-4Fe2P4H3O16,mp-752522_Li,mp-752522,mp-1177422
182,Li0-4Mn2Fe3P6WO24,mp-757052_Li,mp-757052,mp-770860
183,Li1-2FeH8(SO6)2,mp-778185_Li,mp-781672,mp-778185
184,Li0-4Co5SbO12,mp-753116_Li,mp-753116,mp-757593
185,Li0-3Cr2(GeO4)3,mp-1012879_Li,mp-1329713,mp-1012879
186,Li0-4FeCo3(PO4)4,mp-771952_Li,mp-771952,mp-863409
187,Li0.5-2Fe(CO3)2,mp-753230_Li,mp-763371,mp-1568135
188,Li1-3VSiCO7,mp-768601_Li,mp-770650,mp-768601
189,Li1-2CoGeO4,mp-755695_Li,mp-756207,mp-755695
190,Li1-2CoGeO4,mp-753224_Li,mp-763507,mp-756582
191,Li1-2FeCO4,mp-757609_Li,mp-758117,mp-757609
192,Li0-2.5CoCu(PO4)2,mp-756337_Li,mp-761614,mp-764926
193,Li6-7FeCo3(PO4)6,mp-768625_Li,mp-768625,mp-780179
194,Li0-0.25LuCoO3,mp-550950_Li,mp-550950,mp-1235074
195,Li0-6CoCu3(PO4)4,mp-757489_Li,mp-775137,mp-775260
196,Li4-1Mn3Co2Ni3O16,mp-778315_Li,mp-867541,mp-778315
197,Li1-4Co3CuO8,mp-753919_Li,mp-761730,mp-753919
198,Li0-4Fe3Co3(TeO8)2,mp-758114_Li,mp-761932,mp-1177425
199,Li0.5-2Fe(CO3)2,mp-757940_Li,mp-758039,mp-759815
200,Li0-0.5CuCO3,mp-753403_Li,mp-760595,mp-753403
201,Li0-2CoPO4F,mp-25390_Li,mp-25444,mp-25390
202,Li0-1CuCO3,mp-758997_Li,mp-760536,mp-758997
203,Li1-2CoPO4F,mp-770853_Li,mp-776411,mp-770853
204,Li1-2Cu2C2O7,mp-1176775_Li,mp-1176775,mp-1178348
205,Li0.33-0.67CuCO3,mp-758427_Li,mp-758450,mp-758427
206,Li0.5-1CuCO3,mp-760512_Li,mp-760546,mp-760512
207,Li1-3VPCO7,mp-25402_Li,mp-753805,mp-25463
208,Li0-7Cr3Co(PO4)6,mp-757861_Li,mp-757861,mp-780115
209,Li0-4Mn3V2Co3O16,mp-756676_Li,mp-768525,mp-756676
210,Li0-1Mn2Fe3Co3O16,mp-761441_Li,mp-772328,mp-777350
211,Li0-1La4CoO8,mp-19206_Li,mp-25232,mp-19206
212,Li0.33-1CuCO3,mp-758383_Li,mp-758383,mp-759711
213,Li0-1Mn(CO3)2,mp-754012_Li,mp-754012,mp-1295192
214,Li0-2CoH8(SO6)2,mp-770611_Li,mp-1178433,mp-770611
215,Li0-2MnV4CoO12,mp-756893_Li,mp-756893,mp-1177907
216,Li0-4Mn3Co3(SnO8)2,mp-770554_Li,mp-770554,mp-777041
