material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom,is_stable
mp-1977994,Li7Mn5O12,48,P1,-2.133067281,FALSE
mp-1978357,Li7Mn5O12,48,P-1,-2.133484962,FALSE
mp-764764,Li7Mn5O12,48,C2/m,-2.154309112,FALSE
mp-767763,Li7Mn8O20,70,C2/m,-2.012361226,FALSE
mp-758593,Li7Ni13O24,44,C2/m,-1.245496228,FALSE
mp-772995,Li7Ti12Fe5O32,56,R3,-2.926987352,FALSE
mp-771056,Li7Ti5Mn12O32,56,P1,-2.455157382,FALSE
mp-1638858,Li8(FeO2)5,46,P1,-1.801036976,FALSE
mp-1643420,Li8(FeO2)5,46,P-1,-1.803857469,FALSE
mp-1643829,Li8(FeO2)5,46,P-1,-1.801910962,FALSE
mp-758772,Li8(NiO2)11,82,P1,-1.327359237,FALSE
mp-779474,Li8Fe2O7,68,P2_1/c,-1.95861431,FALSE
mp-772983,Li8Fe2O9,76,P-1,-1.841819935,FALSE
mp-773132,Li8Mn2O9,76,P-1,-1.980619325,FALSE
mp-759775,Li8Mn9O18,70,P1,-2.115056772,FALSE
mp-772622,Li8Ti6Mn7O30,51,P3,-2.499373408,FALSE
mp-767679,Li8TiMn3O12,48,P2,-2.290731758,FALSE
mp-768084,Li8V11O22,41,P-1,-2.459176788,FALSE
mp-756255,Li8VO6,60,P-1,-2.207564022,FALSE
mp-775731,Li9(NiO4)2,76,Pca2_1,-1.699547156,FALSE
mp-772996,Li9Fe23O32,64,C2,-1.701212601,FALSE
mp-769514,Li9Mn12Cu3O32,56,R3,-1.884498099,FALSE
mp-766830,Li9Mn14O32,55,Cm,-2.01623877,FALSE
mp-531804,Li9Mn15O32,56,P1,-2.056898602,FALSE
mp-767704,Li9Mn15O32,56,C2/m,-2.015496509,FALSE
mp-769450,Li9Mn15O32,56,P1,-2.059286502,FALSE
mp-673697,Li9Mn20O40,69,I-4,-1.963110059,FALSE
mp-690161,Li9Mn20O40,69,P1,-2.038296047,FALSE
mp-1177178,Li9Mn21O40,70,F222,-2.041797981,FALSE
mp-530725,Li9Mn21O40,70,I-4,-1.969622586,FALSE
mp-776365,Li9Mn21O40,70,P1,-2.058711225,FALSE
mp-530336,Li9Mn22O48,79,Cm,-1.912124839,FALSE
mp-1176815,Li9Mn5O12,52,C2/c,-2.057065994,FALSE
mp-849386,Li9Nb7V12O48,76,P1,-2.587547452,FALSE
mp-850928,Li9Nb7V12O48,76,P1,-2.585105172,FALSE
mp-759153,Li9Ni15O28,52,P-1,-1.287355187,FALSE
mp-531942,Li9Ni23O32,64,P1,-1.351206059,FALSE
mp-776279,Li9V19O48,76,P1,-2.408962153,FALSE
mp-766679,Li9V21O40,70,I-4,-2.504866061,FALSE
mp-776467,Li9Y(NiO4)2,80,Pnma,-2.04069603,FALSE
mp-773010,LiFe23O32,56,R-3m,-1.616236139,FALSE
mp-21735,LiFe5O8,56,P4_332,-1.709526014,FALSE
mp-850511,LiFeO2,64,Pbca,-1.862459472,FALSE
mp-766948,LiMn10O20,62,I4_1/a,-1.826747406,FALSE
mp-694894,LiMn12O24,74,P2/c,-1.817675957,FALSE
mp-1003549,LiMn16O32,49,Pm,-1.833733488,FALSE
mp-775739,LiMn28O56,85,R3,-1.773627861,FALSE
mp-1016095,LiMn2O4,42,Cc,-2.006542374,FALSE
mp-1097867,LiMn2O4,42,P1,-2.060603496,FALSE
mp-22584,LiMn2O4,42,Fd-3m,-2.020669213,FALSE
mp-758700,LiMn2O4,42,P1,-2.006558681,FALSE
mp-1176672,LiMn3O6,40,Cc,-1.977061589,FALSE
mp-758426,LiMn3O6,40,I4_1/amd,-1.916213097,FALSE
mp-762514,LiMn3O6,40,P1,-1.943452402,FALSE
mp-763655,LiMn3O6,40,P1,-1.975385261,FALSE
mp-1003315,LiMn4O8,52,P2_1/c,-1.920506128,FALSE
mp-1195443,LiMn4O8,52,P2_13,-1.909543824,FALSE
mp-35530,LiMn4O8,52,F-43m,-1.906082747,FALSE
mp-770866,LiMn5O8,56,P4_332,-2.018707654,FALSE
mp-1176651,LiMn6O12,57,P1,-1.866637884,FALSE
mp-758753,LiMn6O12,57,C2,-1.862951348,FALSE
mp-1312332,LiMn7O12,40,C2/m,-1.938637631,FALSE
mp-770641,LiMn7O12,80,I4_1/acd,-1.94917302,FALSE
mp-1176738,LiMn7O14,88,C2/c,-1.856199671,FALSE
mp-1016165,LiMn8O16,50,Pc,-1.864059159,FALSE
mp-36240,LiMn8O16,50,Pmmn,-1.842537997,FALSE
mp-531604,LiMnO2,80,Cm,-2.14139345,FALSE
mp-675370,LiMnO2,56,Pmm2,-2.142373549,FALSE
mp-756475,LiMnO2,40,P-1,-2.107906736,FALSE
mp-779788,LiMnO2,48,P1,-2.114466778,FALSE
mp-774457,LiNb7V12O48,68,P1,-2.531123987,FALSE
mp-757803,LiTi2V3O12,72,P1,-2.734021531,FALSE
mp-764774,LiTi2V3O12,72,P2_1/c,-2.744180213,FALSE
mp-774505,LiTi2VO6,40,P2_1/c,-3.062802662,FALSE
mp-753531,LiTi3VO8,52,R-3m,-3.099075107,FALSE
mp-769573,LiTiVO4,42,P1,-2.880023616,FALSE
mp-774591,LiV18O44,63,Pm,-2.291583627,FALSE
mp-760797,LiV24O58,83,P1,-2.299557136,FALSE
mp-776037,LiV4O10,90,P-1,-2.34977389,FALSE
mp-505717,LiV6O13,40,C2/m,-2.408712078,FALSE
mp-542050,LiV6O13,40,P-1,-2.412591113,FALSE
mp-776036,LiV6O15,88,P2_1/c,-2.324549622,FALSE
mp-767268,LiV9O22,64,P2_1/m,-2.305640773,FALSE
mp-773031,LiV9O22,64,P2_1/m,-2.300064667,FALSE
mp-1222477,LiVZnO4,42,R3,-2.28666465,TRUE
mp-771993,LiZn2Fe9O16,56,Cm,-1.68822653,FALSE
mp-769606,LiZn4Fe13O24,42,Cm,-1.668206637,FALSE
mp-771348,LiZn6Fe17O32,56,Cm,-1.658704415,FALSE
mp-771267,LiZnFe7O12,42,Cm,-1.692872043,FALSE
